"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"35154_at"	"0.395909"	"1.04e-01"	"1.7007238"	"-4.7966"	"0.1527576"	"BTBD2"	"BTB domain containing 2"
"39443_s_at"	"0.395909"	"1.04e-01"	"1.7007155"	"-4.79661"	"0.1949417"	"COX5B"	"cytochrome c oxidase subunit 5B"
"1815_g_at"	"0.396168"	"1.04e-01"	"-1.7001926"	"-4.79739"	"-0.3793285"	"TGFBR2"	"transforming growth factor beta receptor 2"
"41185_f_at"	"0.396243"	"1.05e-01"	"-1.6999253"	"-4.79778"	"-0.1761581"	"LOC101929087///SUMO2///SUMO3"	"small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3"
"38722_at"	"0.396424"	"1.05e-01"	"-1.6995114"	"-4.79839"	"-0.1985286"	"COL6A1"	"collagen type VI alpha 1 chain"
"1934_s_at"	"0.39651"	"1.05e-01"	"1.6990138"	"-4.79913"	"0.2339014"	"VEGFC"	"vascular endothelial growth factor C"
"37565_at"	"0.39651"	"1.05e-01"	"-1.6989772"	"-4.79919"	"-0.196081"	"MMD"	"monocyte to macrophage differentiation associated"
"34995_at"	"0.39651"	"1.05e-01"	"-1.6987723"	"-4.79949"	"-0.2363968"	"CALCRL"	"calcitonin receptor like receptor"
"38454_g_at"	"0.39651"	"1.05e-01"	"-1.6986557"	"-4.79966"	"-0.2848404"	"ICAM2"	"intercellular adhesion molecule 2"
"38135_at"	"0.39651"	"1.05e-01"	"1.6985543"	"-4.79981"	"0.2925976"	"CEP290"	"centrosomal protein 290"
"38825_at"	"0.39651"	"1.05e-01"	"-1.6982393"	"-4.80028"	"-0.1792867"	"FGA"	"fibrinogen alpha chain"
"40333_at"	"0.39651"	"1.05e-01"	"-1.6981271"	"-4.80044"	"-0.150292"	"BMP4"	"bone morphogenetic protein 4"
"38456_s_at"	"0.39651"	"1.05e-01"	"-1.6979398"	"-4.80072"	"-0.1583727"	"SNRPB"	"small nuclear ribonucleoprotein polypeptides B and B1"
"38488_s_at"	"0.39651"	"1.05e-01"	"-1.6979151"	"-4.80076"	"-0.5281933"	"IL15"	"interleukin 15"
"31311_at"	"0.396648"	"1.05e-01"	"1.6975602"	"-4.80128"	"0.1233542"	""	""
"37597_s_at"	"0.397182"	"1.05e-01"	"1.6966598"	"-4.80261"	"0.229838"	"EXOC3"	"exocyst complex component 3"
"1769_at"	"0.397273"	"1.05e-01"	"1.6963712"	"-4.80304"	"0.1197911"	"MAST1"	"microtubule associated serine/threonine kinase 1"
"36699_at"	"0.397362"	"1.05e-01"	"1.6959779"	"-4.80362"	"0.2051324"	"DSCAM"	"DS cell adhesion molecule"
"31772_at"	"0.397362"	"1.05e-01"	"1.6959204"	"-4.80371"	"0.1550576"	"OVOL3"	"ovo like zinc finger 3"
"128_at"	"0.397769"	"1.05e-01"	"-1.6950368"	"-4.80501"	"-0.2309342"	"CTSK"	"cathepsin K"
"40203_at"	"0.397769"	"1.06e-01"	"-1.6949015"	"-4.80521"	"-0.2685451"	"EIF1"	"eukaryotic translation initiation factor 1"
"32388_at"	"0.397769"	"1.06e-01"	"1.6947687"	"-4.80541"	"0.1664569"	""	""
"33334_at"	"0.397769"	"1.06e-01"	"1.6946702"	"-4.80555"	"0.1617276"	"ACYP1"	"acylphosphatase 1"
"31796_at"	"0.397769"	"1.06e-01"	"1.6945414"	"-4.80574"	"0.1778408"	"KIF1C"	"kinesin family member 1C"
"36042_at"	"0.397954"	"1.06e-01"	"1.6941222"	"-4.80636"	"0.1387307"	"NTRK2"	"neurotrophic receptor tyrosine kinase 2"
"38289_r_at"	"0.398003"	"1.06e-01"	"1.6938922"	"-4.8067"	"0.2549981"	"NF1P9///NF1"	"neurofibromin 1 pseudogene 9///neurofibromin 1"
"36005_at"	"0.398228"	"1.06e-01"	"1.6932652"	"-4.80763"	"0.156926"	"CLASRP"	"CLK4 associating serine/arginine rich protein"
"40945_at"	"0.398228"	"1.06e-01"	"1.6932551"	"-4.80764"	"0.1171286"	"KLF11"	"Kruppel like factor 11"
"38770_at"	"0.39842"	"1.06e-01"	"1.692709"	"-4.80845"	"0.3397521"	"ADAM12"	"ADAM metallopeptidase domain 12"
"38678_at"	"0.39842"	"1.06e-01"	"-1.6926635"	"-4.80852"	"-0.374244"	"SNRPE"	"small nuclear ribonucleoprotein polypeptide E"
"1615_at"	"0.39845"	"1.06e-01"	"1.6924588"	"-4.80882"	"0.1734213"	"BCL2L1"	"BCL2 like 1"
"32765_f_at"	"0.398476"	"1.06e-01"	"1.6922594"	"-4.80911"	"0.1768952"	"CPQ"	"carboxypeptidase Q"
"37964_at"	"0.39849"	"1.06e-01"	"-1.692078"	"-4.80938"	"-0.2669808"	"PCGF3"	"polycomb group ring finger 3"
"452_at"	"0.398503"	"1.06e-01"	"-1.6918593"	"-4.80971"	"-0.2483802"	"SMARCC1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
"41012_r_at"	"0.398503"	"1.06e-01"	"-1.6917329"	"-4.80989"	"-0.2534563"	"RAPGEF4"	"Rap guanine nucleotide exchange factor 4"
"37501_at"	"0.398603"	"1.06e-01"	"-1.6913991"	"-4.81038"	"-0.1381302"	"NKRF"	"NFKB repressing factor"
"37063_r_at"	"0.398603"	"1.06e-01"	"-1.6912694"	"-4.81058"	"-0.2535925"	"KCNV1"	"potassium voltage-gated channel modifier subfamily V member 1"
"34874_at"	"0.398763"	"1.06e-01"	"1.6908862"	"-4.81114"	"0.2017212"	"PNPLA6"	"patatin like phospholipase domain containing 6"
"590_at"	"0.398784"	"1.06e-01"	"-1.6906945"	"-4.81142"	"-0.1863365"	"ICAM2"	"intercellular adhesion molecule 2"
"32530_at"	"0.398786"	"1.06e-01"	"-1.6905291"	"-4.81167"	"-0.1803387"	"YWHAQ"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta"
"39571_at"	"0.399078"	"1.06e-01"	"1.6899124"	"-4.81258"	"0.12676"	"CAMSAP1"	"calmodulin regulated spectrin associated protein 1"
"39125_at"	"0.399078"	"1.07e-01"	"1.689643"	"-4.81297"	"0.1078935"	""	""
"32543_at"	"0.399078"	"1.07e-01"	"-1.689482"	"-4.81321"	"-0.3130564"	"CALR"	"calreticulin"
"37857_at"	"0.399078"	"1.07e-01"	"1.689281"	"-4.81351"	"0.3847506"	"CDHR1"	"cadherin related family member 1"
"33910_at"	"0.399078"	"1.07e-01"	"-1.6892295"	"-4.81358"	"-0.427024"	"PTPRD"	"protein tyrosine phosphatase, receptor type D"
"38967_at"	"0.399078"	"1.07e-01"	"-1.6891495"	"-4.8137"	"-0.3546137"	"C14orf2"	"chromosome 14 open reading frame 2"
"1754_at"	"0.399489"	"1.07e-01"	"-1.6883443"	"-4.81489"	"-0.1619685"	"DAXX"	"death domain associated protein"
"39955_at"	"0.399489"	"1.07e-01"	"-1.6882591"	"-4.81501"	"-0.3423204"	"MIR15A"	"microRNA 15a"
"36789_f_at"	"0.399519"	"1.07e-01"	"-1.6880557"	"-4.81531"	"-0.1644061"	"LILRB5"	"leukocyte immunoglobulin like receptor B5"
"38120_at"	"0.399594"	"1.07e-01"	"-1.6877903"	"-4.8157"	"-0.2704202"	"PKD2"	"polycystin 2, transient receptor potential cation channel"
"38707_r_at"	"0.399767"	"1.07e-01"	"-1.6873894"	"-4.81629"	"-0.2005579"	"E2F4"	"E2F transcription factor 4"
"35752_s_at"	"0.39984"	"1.07e-01"	"-1.6871262"	"-4.81668"	"-0.4414979"	"PROS1"	"protein S (alpha)"
"35002_g_at"	"0.399957"	"1.07e-01"	"-1.6867293"	"-4.81727"	"-0.155505"	"KCTD20"	"potassium channel tetramerization domain containing 20"
"35591_at"	"0.399957"	"1.07e-01"	"1.6866414"	"-4.8174"	"0.2131457"	"F11"	"coagulation factor XI"
"37579_at"	"0.399996"	"1.07e-01"	"1.6864249"	"-4.81771"	"0.1877162"	"CYFIP2"	"cytoplasmic FMR1 interacting protein 2"
"41398_at"	"0.400362"	"1.07e-01"	"-1.6856298"	"-4.81889"	"-0.3298932"	"YTHDC2"	"YTH domain containing 2"
"34445_at"	"0.400362"	"1.07e-01"	"-1.6855979"	"-4.81893"	"-0.2485835"	"RABGAP1L"	"RAB GTPase activating protein 1 like"
"38838_at"	"0.400706"	"1.07e-01"	"1.6849641"	"-4.81986"	"0.3159507"	"EXOSC9"	"exosome component 9"
"2073_s_at"	"0.400814"	"1.08e-01"	"1.6845003"	"-4.82055"	"0.1857151"	"CDH13"	"cadherin 13"
"35307_at"	"0.400814"	"1.08e-01"	"-1.6844911"	"-4.82056"	"-0.1730294"	"GDI2"	"GDP dissociation inhibitor 2"
"41349_at"	"0.401746"	"1.08e-01"	"-1.6830512"	"-4.82268"	"-0.2036707"	"PSEN2"	"presenilin 2"
"31660_at"	"0.40196"	"1.08e-01"	"1.6825967"	"-4.82335"	"0.140575"	"DKFZP434A062"	"uncharacterized LOC26102"
"33510_s_at"	"0.402036"	"1.08e-01"	"1.682327"	"-4.82374"	"0.1050112"	"GRM1"	"glutamate metabotropic receptor 1"
"33599_at"	"0.402036"	"1.08e-01"	"1.6821684"	"-4.82398"	"0.2083144"	"RAB30"	"RAB30, member RAS oncogene family"
"34222_at"	"0.402164"	"1.08e-01"	"1.681793"	"-4.82453"	"0.1582769"	"BRINP2"	"BMP/retinoic acid inducible neural specific 2"
"32460_at"	"0.402164"	"1.08e-01"	"1.6816693"	"-4.82471"	"0.1685238"	"GABRB2"	"gamma-aminobutyric acid type A receptor beta2 subunit"
"34634_s_at"	"0.402254"	"1.08e-01"	"1.6813833"	"-4.82513"	"0.1111396"	"HTR7"	"5-hydroxytryptamine receptor 7"
"356_at"	"0.402297"	"1.08e-01"	"1.681154"	"-4.82547"	"0.237059"	"KIF22"	"kinesin family member 22"
"33082_at"	"0.402297"	"1.08e-01"	"-1.6808632"	"-4.82589"	"-0.1277561"	"ITGA10"	"integrin subunit alpha 10"
"34050_at"	"0.402297"	"1.08e-01"	"1.6808394"	"-4.82593"	"0.2190636"	"ACSM1"	"acyl-CoA synthetase medium-chain family member 1"
"580_at"	"0.402688"	"1.08e-01"	"1.6801421"	"-4.82695"	"0.1759913"	"HIST1H1E"	"histone cluster 1, H1e"
"1672_f_at"	"0.403008"	"1.09e-01"	"-1.67925"	"-4.82826"	"-0.2336818"	"RB1"	"RB transcriptional corepressor 1"
"34570_at"	"0.403008"	"1.09e-01"	"-1.6792376"	"-4.82828"	"-0.1756774"	"RPS27A"	"ribosomal protein S27a"
"33863_at"	"0.403008"	"1.09e-01"	"-1.6790953"	"-4.82849"	"-0.2083689"	"HYOU1"	"hypoxia up-regulated 1"
"1975_s_at"	"0.403008"	"1.09e-01"	"1.6789922"	"-4.82864"	"0.1327576"	"IGF1"	"insulin like growth factor 1"
"37596_at"	"0.403008"	"1.09e-01"	"1.6788968"	"-4.82878"	"0.1307762"	"PLCD1"	"phospholipase C delta 1"
"39612_at"	"0.403519"	"1.09e-01"	"-1.678037"	"-4.83004"	"-0.2182764"	"LOC157562"	"uncharacterized LOC157562"
"672_at"	"0.403572"	"1.09e-01"	"1.6777523"	"-4.83046"	"0.119375"	"SERPINE1"	"serpin family E member 1"
"34977_at"	"0.403572"	"1.09e-01"	"-1.677577"	"-4.83071"	"-0.164382"	"SIGLEC7"	"sialic acid binding Ig like lectin 7"
"35930_at"	"0.403572"	"1.09e-01"	"1.6774801"	"-4.83086"	"0.1957456"	"TSPY10///TSPY8///TSPY4///TSPY3///TSPY2///TSPY1"	"testis specific protein, Y-linked 10///testis specific protein, Y-linked 8///testis specific protein, Y-linked 4///testis specific protein, Y-linked 3///testis specific protein, Y-linked 2///testis specific protein, Y-linked 1"
"35046_at"	"0.404071"	"1.09e-01"	"1.6766375"	"-4.83209"	"0.222528"	""	""
"39912_at"	"0.404233"	"1.09e-01"	"1.6762557"	"-4.83265"	"0.1384754"	"HS6ST1"	"heparan sulfate 6-O-sulfotransferase 1"
"39577_at"	"0.404242"	"1.09e-01"	"1.6760613"	"-4.83294"	"0.2783894"	"SOSTDC1"	"sclerostin domain containing 1"
"40139_at"	"0.404242"	"1.09e-01"	"-1.6759194"	"-4.83314"	"-0.1203976"	"MTOR"	"mechanistic target of rapamycin"
"35838_at"	"0.404365"	"1.09e-01"	"-1.6755911"	"-4.83363"	"-0.2889375"	"PTGR2///ZNF410"	"prostaglandin reductase 2///zinc finger protein 410"
"37059_at"	"0.404388"	"1.09e-01"	"1.6752481"	"-4.83413"	"0.1119698"	"GCKR"	"glucokinase (hexokinase 4) regulator"
"607_s_at"	"0.404388"	"1.09e-01"	"-1.6752363"	"-4.83415"	"-0.3503292"	"VWF"	"von Willebrand factor"
"35636_at"	"0.404675"	"1.09e-01"	"1.6746519"	"-4.835"	"0.3341804"	"CA5B"	"carbonic anhydrase 5B"
"40464_g_at"	"0.404675"	"1.10e-01"	"-1.6743301"	"-4.83547"	"-0.2903974"	"TNPO1"	"transportin 1"
"38112_g_at"	"0.404675"	"1.10e-01"	"-1.6742649"	"-4.83557"	"-0.396133"	"VCAN"	"versican"
"39649_at"	"0.404675"	"1.10e-01"	"1.6742009"	"-4.83566"	"0.1881961"	"ARHGAP4"	"Rho GTPase activating protein 4"
"32736_at"	"0.404946"	"1.10e-01"	"-1.6736704"	"-4.83644"	"-0.1089271"	"RAC2"	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
"232_at"	"0.405005"	"1.10e-01"	"-1.6734291"	"-4.83679"	"-0.1619405"	"LAMC1"	"laminin subunit gamma 1"
"820_at"	"0.405095"	"1.10e-01"	"-1.6731454"	"-4.83721"	"-0.1976535"	"MGST2"	"microsomal glutathione S-transferase 2"
"37541_at"	"0.405336"	"1.10e-01"	"1.6726556"	"-4.83792"	"0.1659156"	"SELPLG"	"selectin P ligand"
"38949_at"	"0.405618"	"1.10e-01"	"1.6721117"	"-4.83872"	"0.1669026"	"PRKCQ"	"protein kinase C theta"
"31516_f_at"	"0.406129"	"1.10e-01"	"1.6711089"	"-4.84019"	"0.1860111"	"BTF3P11"	"basic transcription factor 3 pseudogene 11"
"929_at"	"0.406129"	"1.10e-01"	"1.6710952"	"-4.84021"	"0.1493957"	"PPARA"	"peroxisome proliferator activated receptor alpha"
"35281_at"	"0.406565"	"1.10e-01"	"-1.6703418"	"-4.84131"	"-0.355711"	"LAMC2"	"laminin subunit gamma 2"
"37236_at"	"0.407314"	"1.11e-01"	"1.6690982"	"-4.84313"	"0.2101027"	"KNG1"	"kininogen 1"
"33239_at"	"0.407314"	"1.11e-01"	"-1.6688186"	"-4.84353"	"-0.1545589"	"CEP112"	"centrosomal protein 112"
"35419_g_at"	"0.407314"	"1.11e-01"	"1.6685066"	"-4.84399"	"0.1699521"	"HEXA"	"hexosaminidase subunit alpha"
"40323_at"	"0.407314"	"1.11e-01"	"-1.6684925"	"-4.84401"	"-0.2336327"	"CD38"	"CD38 molecule"
"39611_at"	"0.407314"	"1.11e-01"	"1.6684684"	"-4.84404"	"0.1336421"	"EFNA5"	"ephrin A5"
"32102_at"	"0.407314"	"1.11e-01"	"-1.6683602"	"-4.8442"	"-0.2114889"	"SACS"	"sacsin molecular chaperone"
"1923_at"	"0.407382"	"1.11e-01"	"-1.6681081"	"-4.84457"	"-0.3740182"	"CCNC"	"cyclin C"
"41023_at"	"0.407402"	"1.11e-01"	"-1.6679196"	"-4.84485"	"-0.1449098"	"C8A"	"complement component 8 alpha subunit"
"33031_at"	"0.407559"	"1.11e-01"	"-1.6675465"	"-4.84539"	"-0.2056821"	""	""
"32476_at"	"0.407684"	"1.11e-01"	"1.6672155"	"-4.84587"	"0.2570233"	"MAGEB3"	"MAGE family member B3"
"34583_at"	"0.407797"	"1.11e-01"	"1.6668685"	"-4.84638"	"0.2081"	"FLT3"	"fms related tyrosine kinase 3"
"1657_at"	"0.407797"	"1.11e-01"	"1.6664362"	"-4.84701"	"0.634236"	"PTPRR"	"protein tyrosine phosphatase, receptor type R"
"415_at"	"0.407797"	"1.11e-01"	"1.6664357"	"-4.84701"	"0.1454464"	"CRKL"	"CRK like proto-oncogene, adaptor protein"
"33685_at"	"0.407797"	"1.11e-01"	"1.6663368"	"-4.84716"	"0.1163339"	"ATP8B3"	"ATPase phospholipid transporting 8B3"
"36904_at"	"0.407797"	"1.11e-01"	"1.6662596"	"-4.84727"	"0.1759531"	"KIF1A"	"kinesin family member 1A"
"36267_at"	"0.407831"	"1.11e-01"	"1.6660538"	"-4.84757"	"0.1459105"	"NFKBIL1"	"NFKB inhibitor like 1"
"37731_at"	"0.407834"	"1.11e-01"	"-1.6657193"	"-4.84806"	"-0.2873043"	"EPS15"	"epidermal growth factor receptor pathway substrate 15"
"31616_r_at"	"0.407834"	"1.11e-01"	"1.6654278"	"-4.84848"	"0.2696494"	"CD44"	"CD44 molecule (Indian blood group)"
"41147_at"	"0.407834"	"1.11e-01"	"-1.6654155"	"-4.8485"	"-0.2834567"	"ISCA1"	"iron-sulfur cluster assembly 1"
"33354_at"	"0.407834"	"1.11e-01"	"-1.6654076"	"-4.84851"	"-0.3373302"	"SMURF2"	"SMAD specific E3 ubiquitin protein ligase 2"
"36593_at"	"0.408182"	"1.11e-01"	"-1.6647696"	"-4.84944"	"-0.1863211"	"EXT2"	"exostosin glycosyltransferase 2"
"39330_s_at"	"0.408182"	"1.11e-01"	"-1.6646167"	"-4.84967"	"-0.3149786"	"ACTN1"	"actinin alpha 1"
"38823_s_at"	"0.408216"	"1.12e-01"	"-1.6643116"	"-4.85011"	"-0.2138468"	"STK17A"	"serine/threonine kinase 17a"
"35122_at"	"0.408216"	"1.12e-01"	"1.6642498"	"-4.8502"	"0.1743767"	"LPAL2"	"lipoprotein(a) like 2, pseudogene"
"36457_at"	"0.408262"	"1.12e-01"	"-1.6639888"	"-4.85058"	"-0.2352358"	"GMPS"	"guanine monophosphate synthase"
"31470_at"	"0.408262"	"1.12e-01"	"1.6637514"	"-4.85093"	"0.1879845"	"PFKFB2"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"40786_at"	"0.408262"	"1.12e-01"	"-1.6637071"	"-4.85099"	"-0.2299151"	"PPP2R5C"	"protein phosphatase 2 regulatory subunit B'gamma"
"37965_at"	"0.408542"	"1.12e-01"	"-1.6631677"	"-4.85178"	"-0.1501718"	"PARVB"	"parvin beta"
"37786_at"	"0.408584"	"1.12e-01"	"-1.6629508"	"-4.85209"	"-0.3341133"	"MARCH3"	"membrane associated ring-CH-type finger 3"
"41651_at"	"0.408738"	"1.12e-01"	"-1.6625831"	"-4.85263"	"-0.3434782"	"KIAA1033"	"KIAA1033"
"36323_at"	"0.40875"	"1.12e-01"	"-1.662407"	"-4.85289"	"-0.1923643"	"GABRA1"	"gamma-aminobutyric acid type A receptor alpha1 subunit"
"34663_at"	"0.408873"	"1.12e-01"	"-1.6617398"	"-4.85386"	"-0.1656796"	"FCGR2B"	"Fc fragment of IgG receptor IIb"
"1801_at"	"0.408873"	"1.12e-01"	"-1.6617019"	"-4.85391"	"-0.31413"	"BARD1"	"BRCA1 associated RING domain 1"
"1343_s_at"	"0.408873"	"1.12e-01"	"-1.6616206"	"-4.85403"	"-0.3388021"	"SERPINB3"	"serpin family B member 3"
"38759_at"	"0.408873"	"1.12e-01"	"-1.6616003"	"-4.85406"	"-0.3491298"	"BTN3A2"	"butyrophilin subfamily 3 member A2"
"1588_at"	"0.408971"	"1.12e-01"	"-1.6613082"	"-4.85449"	"-0.1421882"	"IFNAR2"	"interferon alpha and beta receptor subunit 2"
"33481_at"	"0.409253"	"1.12e-01"	"1.6607678"	"-4.85527"	"0.1607369"	""	""
"40814_at"	"0.41039"	"1.13e-01"	"-1.6590732"	"-4.85774"	"-0.2051812"	"IDS"	"iduronate 2-sulfatase"
"41456_at"	"0.41055"	"1.13e-01"	"1.6586972"	"-4.85828"	"0.1075156"	"GATB"	"glutamyl-tRNA amidotransferase subunit B"
"32111_at"	"0.410629"	"1.13e-01"	"-1.6583546"	"-4.85878"	"-0.207329"	"CDYL"	"chromodomain Y-like"
"33344_at"	"0.410629"	"1.13e-01"	"1.6582719"	"-4.8589"	"0.1661645"	"MED14"	"mediator complex subunit 14"
"39769_at"	"0.410632"	"1.13e-01"	"1.6581077"	"-4.85914"	"0.1466818"	"CNP"	"2',3'-cyclic nucleotide 3' phosphodiesterase"
"39043_at"	"0.41081"	"1.13e-01"	"-1.6577077"	"-4.85972"	"-0.2415829"	"ARPC1B"	"actin related protein 2/3 complex subunit 1B"
"41042_r_at"	"0.411006"	"1.13e-01"	"1.6570846"	"-4.86063"	"0.1759571"	"MYO7A"	"myosin VIIA"
"32731_at"	"0.411006"	"1.13e-01"	"1.657002"	"-4.86075"	"0.1171263"	"MIR6831///APBB3"	"microRNA 6831///amyloid beta precursor protein binding family B member 3"
"33099_at"	"0.411006"	"1.13e-01"	"1.6566562"	"-4.86125"	"0.2946013"	"FUT5"	"fucosyltransferase 5"
"41779_at"	"0.411006"	"1.13e-01"	"-1.6566322"	"-4.86129"	"-0.1121288"	"RGS16"	"regulator of G-protein signaling 16"
"32767_at"	"0.411006"	"1.13e-01"	"-1.6565847"	"-4.86135"	"-0.1956089"	"STIL"	"SCL/TAL1 interrupting locus"
"39094_at"	"0.411006"	"1.13e-01"	"1.6564866"	"-4.8615"	"0.0914117"	"BRD4"	"bromodomain containing 4"
"41378_at"	"0.411027"	"1.13e-01"	"-1.656299"	"-4.86177"	"-0.2958557"	"SGCD"	"sarcoglycan delta"
"1828_s_at"	"0.411081"	"1.13e-01"	"1.6560292"	"-4.86216"	"0.1490882"	"FGF2"	"fibroblast growth factor 2"
"34353_at"	"0.411081"	"1.13e-01"	"-1.6559086"	"-4.86234"	"-0.2310427"	"PDS5A"	"PDS5 cohesin associated factor A"
"36798_g_at"	"0.411119"	"1.13e-01"	"1.6556974"	"-4.86264"	"0.100511"	"SPN"	"sialophorin"
"35682_at"	"0.4121"	"1.14e-01"	"-1.6542186"	"-4.86479"	"-0.209229"	"ZC3HAV1"	"zinc finger CCCH-type containing, antiviral 1"
"38818_at"	"0.412187"	"1.14e-01"	"-1.6538736"	"-4.86529"	"-0.2030915"	"SPTLC1"	"serine palmitoyltransferase long chain base subunit 1"
"37383_f_at"	"0.412187"	"1.14e-01"	"-1.6537833"	"-4.86542"	"-0.1704274"	"HLA-C///HLA-B"	"major histocompatibility complex, class I, C///major histocompatibility complex, class I, B"
"37489_s_at"	"0.412804"	"1.14e-01"	"1.6527115"	"-4.86698"	"0.1574686"	"SLC4A3"	"solute carrier family 4 member 3"
"39221_at"	"0.412804"	"1.14e-01"	"-1.652635"	"-4.86709"	"-0.1587046"	"LILRB2"	"leukocyte immunoglobulin like receptor B2"
"40683_at"	"0.413382"	"1.14e-01"	"1.651701"	"-4.86844"	"0.1665949"	"GRB14"	"growth factor receptor bound protein 14"
"41314_at"	"0.413993"	"1.14e-01"	"1.6507168"	"-4.86987"	"0.2215725"	"CS"	"citrate synthase"
"33690_at"	"0.413993"	"1.14e-01"	"-1.6505634"	"-4.87009"	"-0.1848661"	"LONRF1"	"LON peptidase N-terminal domain and ring finger 1"
"33420_g_at"	"0.41406"	"1.14e-01"	"-1.6502788"	"-4.8705"	"-0.1360436"	"API5"	"apoptosis inhibitor 5"
"40403_at"	"0.41406"	"1.14e-01"	"1.6500301"	"-4.87086"	"0.2123668"	"MYOC"	"myocilin"
"1942_s_at"	"0.41406"	"1.14e-01"	"-1.649996"	"-4.87091"	"-0.143527"	"CDK4"	"cyclin dependent kinase 4"
"964_at"	"0.414305"	"1.15e-01"	"1.6495089"	"-4.87162"	"0.1111349"	"LOC101930322///ABCC6"	"multidrug resistance-associated protein 6-like///ATP binding cassette subfamily C member 6"
"31403_at"	"0.414386"	"1.15e-01"	"-1.6492416"	"-4.872"	"-0.2408873"	"SLC18A1"	"solute carrier family 18 member A1"
"41442_at"	"0.414389"	"1.15e-01"	"-1.648741"	"-4.87273"	"-0.0983237"	"CBFA2T3"	"CBFA2/RUNX1 translocation partner 3"
"982_at"	"0.414389"	"1.15e-01"	"-1.6486834"	"-4.87281"	"-0.2212493"	"MCM5"	"minichromosome maintenance complex component 5"
"36990_at"	"0.414389"	"1.15e-01"	"1.6486386"	"-4.87288"	"0.126054"	"UCHL1"	"ubiquitin C-terminal hydrolase L1"
"31933_r_at"	"0.414389"	"1.15e-01"	"1.6483254"	"-4.87333"	"0.1310633"	"BTF3"	"basic transcription factor 3"
"32831_at"	"0.414389"	"1.15e-01"	"-1.6483071"	"-4.87336"	"-0.336014"	"TIMM17A"	"translocase of inner mitochondrial membrane 17 homolog A (yeast)"
"38328_at"	"0.414389"	"1.15e-01"	"-1.6482854"	"-4.87339"	"-0.2077527"	"SLC25A13"	"solute carrier family 25 member 13"
"36494_at"	"0.414444"	"1.15e-01"	"-1.6478841"	"-4.87397"	"-0.2572148"	"TRAPPC2B///TRAPPC2"	"trafficking protein particle complex 2B///trafficking protein particle complex 2"
"40892_s_at"	"0.414444"	"1.15e-01"	"1.6478156"	"-4.87407"	"0.1204146"	""	""
"38387_at"	"0.414444"	"1.15e-01"	"1.6477358"	"-4.87418"	"0.1171533"	"MNAT1"	"MNAT1, CDK activating kinase assembly factor"
"34321_i_at"	"0.414565"	"1.15e-01"	"-1.6474102"	"-4.87466"	"-0.6902079"	"FAM3C"	"family with sequence similarity 3 member C"
"37895_at"	"0.414565"	"1.15e-01"	"-1.647256"	"-4.87488"	"-0.2743723"	"SLC35A1"	"solute carrier family 35 member A1"
"728_at"	"0.414752"	"1.15e-01"	"1.6468476"	"-4.87547"	"0.1634181"	"LAMA1"	"laminin subunit alpha 1"
"38005_at"	"0.414854"	"1.15e-01"	"1.6463509"	"-4.87619"	"0.2073571"	"SLC35D2"	"solute carrier family 35 member D2"
"39685_at"	"0.414854"	"1.15e-01"	"-1.6463448"	"-4.8762"	"-0.224663"	"ATXN10"	"ataxin 10"
"32708_g_at"	"0.414854"	"1.15e-01"	"-1.6462358"	"-4.87635"	"-0.2208229"	"KATNA1"	"katanin catalytic subunit A1"
"36202_at"	"0.414987"	"1.15e-01"	"-1.6458986"	"-4.87684"	"-0.1823896"	"PKIA"	"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
"38103_at"	"0.415079"	"1.15e-01"	"1.6456173"	"-4.87725"	"0.1106874"	"GIGYF2"	"GRB10 interacting GYF protein 2"
"39536_at"	"0.415259"	"1.15e-01"	"1.645218"	"-4.87783"	"0.155379"	""	""
"32745_at"	"0.415303"	"1.15e-01"	"-1.6450009"	"-4.87814"	"-0.175547"	"MRPL40"	"mitochondrial ribosomal protein L40"
"37435_s_at"	"0.41561"	"1.16e-01"	"1.644356"	"-4.87907"	"0.2154487"	"KCNJ6"	"potassium voltage-gated channel subfamily J member 6"
"37040_at"	"0.41561"	"1.16e-01"	"-1.6440859"	"-4.87946"	"-0.2133731"	"GANAB"	"glucosidase II alpha subunit"
"39555_at"	"0.41561"	"1.16e-01"	"1.6440447"	"-4.87952"	"0.1912694"	"ING2"	"inhibitor of growth family member 2"
"34184_at"	"0.41561"	"1.16e-01"	"1.6439585"	"-4.87964"	"0.1266639"	"APC2"	"APC2, WNT signaling pathway regulator"
"40836_s_at"	"0.415631"	"1.16e-01"	"1.6437723"	"-4.87991"	"0.1253727"	"EML3"	"echinoderm microtubule associated protein like 3"
"297_g_at"	"0.415894"	"1.16e-01"	"-1.6430338"	"-4.88098"	"-0.354277"	"TUBB2A"	"tubulin beta 2A class IIa"
"38067_at"	"0.415894"	"1.16e-01"	"-1.6429959"	"-4.88104"	"-0.1623101"	"SEPT8"	"septin 8"
